order_id,opened_at,closed_at,side,strategy_name,signal_score,setup_components,signal_reason,qty,entry_price,stop_price,target_price,exit_price,exit_reason,pnl,bars_held
PAPER-000001,2026-05-26T14:02:00+00:00,2026-05-26T14:02:00+00:00,SHORT,CONFLUENCE_SHORT,2,liquidity sweep reject,Short confluence score=2: liquidity sweep reject,1,7540.25,7542.75,7533.75,7542.75,STOP_LOSS,-15.0,1
PAPER-000002,2026-05-26T14:08:00+00:00,2026-05-26T14:08:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7545.0,7547.5,7538.5,7547.5,STOP_LOSS,-15.0,1
PAPER-000003,2026-05-27T13:55:00+00:00,2026-05-27T14:00:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7536.0,7538.5,7529.5,7538.5,STOP_LOSS,-15.0,6
PAPER-000004,2026-05-27T14:22:00+00:00,2026-05-27T14:25:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7540.5,7543.0,7534.0,7534.0,TAKE_PROFIT,30.0,4
PAPER-000005,2026-05-27T14:30:00+00:00,2026-05-27T14:32:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7531.75,7529.25,7538.25,7538.25,TAKE_PROFIT,30.0,3
PAPER-000006,2026-05-27T14:43:00+00:00,2026-05-27T14:44:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7541.75,7544.25,7535.25,7535.25,TAKE_PROFIT,30.0,2
PAPER-000007,2026-05-27T15:22:00+00:00,2026-05-27T15:22:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7525.75,7523.25,7532.25,7523.25,STOP_LOSS,-15.0,1
PAPER-000008,2026-05-28T13:55:00+00:00,2026-05-28T14:00:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7533.25,7535.75,7526.75,7535.75,STOP_LOSS,-15.0,6
PAPER-000009,2026-05-28T14:16:00+00:00,2026-05-28T14:17:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7564.75,7567.25,7558.25,7558.25,TAKE_PROFIT,30.0,2
PAPER-000010,2026-05-28T14:26:00+00:00,2026-05-28T14:32:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7557.5,7555.0,7564.0,7564.0,TAKE_PROFIT,30.0,7
PAPER-000011,2026-05-28T14:33:00+00:00,2026-05-28T14:35:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7559.5,7562.0,7553.0,7553.0,TAKE_PROFIT,30.0,3
PAPER-000012,2026-05-28T14:48:00+00:00,2026-05-28T14:49:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7556.5,7559.0,7550.0,7559.0,STOP_LOSS,-15.0,2
PAPER-000013,2026-05-29T14:08:00+00:00,2026-05-29T14:08:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7608.75,7606.25,7615.25,7606.25,STOP_LOSS,-15.0,1
