20260619 074000;7553;7553;7552.5;7553;67
20260619 074100;7553;7553.75;7551;7551.25;213
20260619 074200;7551.25;7552;7551;7551.25;114
20260619 074300;7551.5;7551.5;7550;7550.25;116
20260619 074400;7550.25;7551;7550;7550.5;135
20260619 074500;7550.5;7551;7550.25;7550.75;61
20260619 074600;7550.75;7551.75;7550.25;7550.25;150
20260619 074700;7550;7550.5;7549.25;7550.5;128
20260619 074800;7550.5;7551.5;7550.25;7551.5;114
20260619 074900;7551.5;7551.5;7549.75;7549.75;107
20260619 075000;7549.75;7550.25;7549;7549.25;82
20260619 075100;7549.25;7549.75;7548.5;7549.75;194
20260619 075200;7549.5;7551.75;7549.25;7550.75;459
20260619 075300;7551;7552;7550.5;7551.75;203
20260619 075400;7551.75;7553;7551.75;7552;196
20260619 075500;7552;7552.25;7551;7551;56
20260619 075600;7551;7551.75;7550.75;7551.25;130
20260619 075700;7551.25;7553;7551.25;7552.5;138
20260619 075800;7552.5;7554.25;7552.25;7553.5;204
20260619 075900;7553.25;7553.75;7553;7553;149
20260619 080000;7553.5;7554.25;7553.25;7554.25;120
20260619 080100;7554.25;7554.5;7552.5;7553;226
20260619 080200;7553;7553.25;7552;7552.25;100
20260619 080300;7552.25;7552.5;7550.75;7550.75;127
20260619 080400;7550.5;7552.25;7550.5;7552.25;150
20260619 080500;7552.25;7553.5;7551.75;7553;219
20260619 080600;7553;7553.25;7551.75;7552.25;149
20260619 080700;7552.5;7554;7552.5;7553.25;158
20260619 080800;7552.75;7553;7551.75;7552.75;68
20260619 080900;7552.75;7553.25;7552.5;7552.5;68
20260619 081000;7552.5;7553.25;7552.25;7552.5;46
20260619 081100;7552.75;7554.5;7552.75;7554.25;145
20260619 081200;7554.25;7555.5;7554.25;7555;344
20260619 081300;7554.75;7556.5;7554.25;7555.75;417
20260619 081400;7555.75;7556;7554.75;7555.25;116
20260619 081500;7555.25;7555.5;7554.5;7554.75;58
20260619 081600;7554.5;7556;7554;7555.75;143
20260619 081700;7555.75;7557;7555.25;7556.75;114
20260619 081800;7557;7557.25;7555.75;7555.75;253
20260619 081900;7556;7556;7555.5;7555.75;123
20260619 082000;7555.5;7557.25;7555.25;7556.75;77
20260619 082100;7556.75;7557;7556.25;7556.75;86
20260619 082200;7557;7557;7556.5;7556.75;62
20260619 082300;7556.75;7557.25;7556.5;7556.75;55
20260619 082400;7557;7558.25;7557;7557.5;191
20260619 082500;7557.25;7557.5;7556.5;7556.5;52
20260619 082600;7556.5;7557;7556.25;7556.5;95
20260619 082700;7556.5;7557;7555.75;7556.5;130
20260619 082800;7556;7556;7554.75;7554.75;114
20260619 082900;7555;7555.5;7554.75;7555.25;92
20260619 083000;7555.75;7557.25;7555.25;7557;238
20260619 083100;7557;7557.5;7556;7556;203
20260619 083200;7556;7556.75;7554.75;7555.5;263
